Movie Name,Role,Name
Astérix et Obélix: Au service de Sa Majesté ,Screenwriter,Gregoire Vigneron
Astérix et Obélix: Au service de Sa Majesté ,Screenwriter,Benjamin Guedj
The Guard,Screenwriter,John Michael McDonagh
The Guard,Director,John Michael McDonagh
The Guard,Producer,Chris Clark
The Guard,Producer,Flora Fernandez-Marengo
The Guard,Producer,Ed Guiney
The Guard,Producer,Andrew Lowe
The Replacements,Director,Howard Deutch
The Replacements,Screenwriter,Vince McKewin
The Replacements,Producer,Dylan Sellers
Honey,Director,Bille Woodruff
Inside Llewyn Davis,Director,Joel Coen
Inside Llewyn Davis,Director,Ethan Coen
Inside Llewyn Davis,Screenwriter,Joel Coen
Inside Llewyn Davis,Screenwriter,Ethan Coen
Inside Llewyn Davis,Producer,Scott Rudin
Inside Llewyn Davis,Producer,Joel Coen
Inside Llewyn Davis,Producer,Ethan Coen
The Sweet Hereafter,Director,Atom Egoyan
Hudson Hawk,Director,Michael Lehmann
Beauty Shop,Director,Bille Woodruff
Due Date,Producer,Todd Phillips
Due Date,Producer,Dan Goldberg
Due Date,Director,Todd Phillips
Due Date,Screenwriter,Alan R. Cohen
Due Date,Screenwriter,Alan Freedland
Due Date,Screenwriter,Adam Sztykiel
Due Date,Screenwriter,Todd Phillips
Gladiator,Director,Ridley Scott
Gladiator,Screenwriter,David Franzoni
Gladiator,Screenwriter,John Logan
Gladiator,Screenwriter,William Nicholson
Gladiator,Producer,Douglas Wick
Gladiator,Producer,David Franzoni
Gladiator,Producer,Branko Lustig
Get Shorty,Director,Barry Sonnenfeld
Oculus,Director,Mike Flanagan
Oculus,Screenwriter,Mike Flanagan
Oculus,Screenwriter,Jeff Howard
Oculus,Producer,Trevor Macy
Oculus,Producer,Marc D. Evans
The Soloist,Director,Joe Wright
The Soloist,Screenwriter,Susannah Grant
The Soloist,Producer,Russ Krasnoff
The Soloist,Producer,Gary Foster
The Hudsucker Proxy,Director,Joel Coen
The Hudsucker Proxy,Producer,Ethan Coen
The Hudsucker Proxy,Screenwriter,Ethan Coen
The Hudsucker Proxy,Screenwriter,Joel Coen
The Hudsucker Proxy,Screenwriter,Sam Raimi
The Great Raid,Director,John Dahl
Twelve Monkeys,Director,Terry Gilliam
Twelve Monkeys,Screenwriter,David Peoples
Twelve Monkeys,Screenwriter,Janet Peoples
Twelve Monkeys,Producer,Charles Roven
Supesu Batorushippu Yamato,Director,Takashi Yamazaki
Supesu Batorushippu Yamato,Screenwriter,Shimako Sato
Supesu Batorushippu Yamato,Producer,Kazuya Hamana
Supesu Batorushippu Yamato,Screenwriter,Toshiaki Nakazawa
Journey 2: The Mysterious Island,Director,Bill Morrison
Journey 2: The Mysterious Island,Screenwriter,Brian Gunn
Journey 2: The Mysterious Island,Screenwriter,Mark Gunn
Journey 2: The Mysterious Island,Producer,Beau Flynn
Journey 2: The Mysterious Island,Producer,Tripp Vinson
Journey 2: The Mysterious Island,Producer,Charlotte Huggins
Final Destination 2,Director,David R. Ellis
My Best Friend's Girl,Director,Howard Deutch
Bram Stoker's Dracula,Director,Francis Ford Coppola
Bram Stoker's Dracula,Screenwriter,James V. Hart
Bram Stoker's Dracula,Producer,Francis Ford Coppola
Bram Stoker's Dracula,Producer,Fred Fuchs
Bram Stoker's Dracula,Producer,Charles Mulvehill
Paraphobia,Director,Rick Montano
Precious (Based on the Novel Push by Sapphire),Director,Lee Daniels
Precious (Based on the Novel Push by Sapphire),Screenwriter,Geoffrey Fletcher
Maggie,Director,Henry Hobson
Changeling,Director,Clint Eastwood
Changeling,Producer,Clint Eastwood
Changeling,Screenwriter,J. Michael Straczynski
Changeling,Producer,Brian Grazer
Changeling,Producer,Ron Howard
Changeling,Producer,Robert Lorenz
Draft Day,Director,Ivan Reitman
Draft Day,Screenwriter,Rajiv Joseph
Draft Day,Screenwriter,Scott Rothman
Draft Day,Producer,Ivan Reitman
Draft Day,Producer,Ali Bell
Draft Day,Producer,Joe Medjuck
Draft Day,Producer,William Lischak
Takers,Producer,Will Packer
Takers,Producer,"Tip ""T.I."" Harris"
Takers,Producer,Jason Geter
Takers,Director,John Luessenhop
Takers,Screenwriter,Peter Allen
Takers,Screenwriter,Gabriel Casseus
Takers,Screenwriter,John Luessenhop
The Social Network,Producer,Scott Rudin
The Social Network,Producer,Dana Brunetti
The Social Network,Producer,Michael De Luca
The Social Network,Producer,Cean Chaffin
The Social Network,Screenwriter,Aaron Sorkin
The Social Network,Director,David Fincher
The Wedding Crashers,Director,David Dobkin
The Wedding Crashers,Producer,Peter Abrams
The Wedding Crashers,Producer,Robert L. Levy
The Wedding Crashers,Producer,Andrew Panay
The Wedding Crashers,Screenwriter,Steve Faber
The Wedding Crashers,Screenwriter,Bob Fisher
The Namesake,Director,Mira Nair
Jack the Giant Slayer,Director,Bryan Singer
Jack the Giant Slayer,Screenwriter,Darren Lemke
Jack the Giant Slayer,Screenwriter,Christopher McQuarrie
Jack the Giant Slayer,Screenwriter,Dan Studney
Jack the Giant Slayer,Producer,Neal H. Moritz
Jack the Giant Slayer,Producer,David Dobkin
Jack the Giant Slayer,Producer,Ori Marmur
Jack the Giant Slayer,Producer,Bryan Singer
Jack the Giant Slayer,Producer,Patrick McCormick
Alpha and Omega 3D,Screenwriter,Steve Moore
Alpha and Omega 3D,Screenwriter,Christopher Denk
Alpha and Omega 3D,Producer,Richard Rich
Alpha and Omega 3D,Producer,Ken Katsumoto
Glory,Director,Edward Zwick
Your Sister's Sister,Director,Lynn Shelton
Your Sister's Sister,Screenwriter,Lynn Shelton
Your Sister's Sister,Producer,Steven Schardt
"Me, Myself & Irene",Director,Bobby Farrelly
"Me, Myself & Irene",Director,Peter Farrelly
"Me, Myself & Irene",Screenwriter,Peter Farrelly
"Me, Myself & Irene",Screenwriter,Bobby Farrelly
"Me, Myself & Irene",Screenwriter,Mike Cerrone
"Me, Myself & Irene",Producer,Bobby Farrelly
"Me, Myself & Irene",Producer,Peter Farrelly
"Me, Myself & Irene",Producer,Bradley Thomas
Master and Commander: The Far Side of the World,Director,Peter Weir
Master and Commander: The Far Side of the World,Screenwriter,Peter Weir
Master and Commander: The Far Side of the World,Screenwriter,John Collee
Master and Commander: The Far Side of the World,Producer,"Samuel Goldwyn, Jr."
Master and Commander: The Far Side of the World,Producer,Peter Weir
Master and Commander: The Far Side of the World,Producer,Duncan Henderson
Sucker Punch,Director,Zack Snyder
Sucker Punch,Screenwriter,Zack Snyder
Sucker Punch,Screenwriter,Steve Shibuya
Sucker Punch,Producer,Deborah Snyder
Sucker Punch,Producer,Zack Snyder
The Hunchback of Notre Dame,Director,Kirk Wise
The Hunchback of Notre Dame,Director,Gary Trousdale
Twilight Zone: The Movie,Director,George Miller
Twilight Zone: The Movie,Director,Joe Dante
Twilight Zone: The Movie,Director,John Landis
Twilight Zone: The Movie,Director,Steven Spielberg
Twilight Zone: The Movie,Screenwriter,Richard Matheson
Twilight Zone: The Movie,Screenwriter,George Clayton Johnson
Twilight Zone: The Movie,Screenwriter,Josh Rogan
Twilight Zone: The Movie,Producer,Steven Spielberg
Twilight Zone: The Movie,Producer,John Landis
Fruitvale Station,Director,Ryan Coogler
Fruitvale Station,Screenwriter,Ryan Coogler
Fruitvale Station,Producer,Nina Yang Bongiovi
Fruitvale Station,Producer,Forest Whitaker
A Haunted House,Director,Michel Tiddes
A Haunted House,Screenwriter,Marlon Wayans
A Haunted House,Screenwriter,Rick Alvarez
A Haunted House,Producer,Marlon Wayans
A Haunted House,Producer,Rick Alvarez
Grease,Director,Randal Kleiser
RocknRolla,Director,Guy Ritchie
Johnson Family Vacation,Director,Christopher Erskin
The Matador,Director,Richard Shepard
Despicable Me,Director,Chris Renaud
Despicable Me,Director,Pierre Coffin
Despicable Me,Producer,Christopher Meledandri
Despicable Me,Producer,Janet Healy
Despicable Me,Producer,John Cohen
Despicable Me,Screenwriter,Cinco Paul
Despicable Me,Screenwriter,Ken Daurio
Rescue Dawn,Director,Werner Herzog
The Matrix Revolutions,Director,Andy Wachowski
The Matrix Revolutions,Director,Lana Wachowski
The Matrix Revolutions,Screenwriter,Andy Wachowski
The Matrix Revolutions,Screenwriter,Lana Wachowski
The Matrix Revolutions,Producer,Joel Silver
Artificial Intelligence: AI,Director,Steven Spielberg
Artificial Intelligence: AI,Screenwriter,Steven Spielberg
Artificial Intelligence: AI,Producer,Steven Spielberg
Artificial Intelligence: AI,Producer,Bonnie Curtis
Artificial Intelligence: AI,Producer,Kathleen Kennedy
Eagle Eye,Director,D.J. Caruso
Eagle Eye,Screenwriter,John Glenn
Eagle Eye,Screenwriter,Travis Adam Wright
Eagle Eye,Screenwriter,Hillary Seitz
Eagle Eye,Screenwriter,Dan McDermott
Eagle Eye,Producer,Alex Kurtzman
Eagle Eye,Producer,Roberto Orci
Eagle Eye,Producer,Patrick Crowley
What Lies Beneath,Director,Robert Zemeckis
What Lies Beneath,Screenwriter,Clark Gregg
What Lies Beneath,Producer,Steve Starkey
What Lies Beneath,Producer,Robert Zemeckis
What Lies Beneath,Producer,Jack Rapke
Wayne's World,Director,Penelope Spheeris
Freddy's Dead: The Final Nightmare,Director,Rachel Talalay
Freddy's Dead: The Final Nightmare,Producer,Robert Shaye
Freddy's Dead: The Final Nightmare,Producer,Aron Warner
Freddy's Dead: The Final Nightmare,Screenwriter,Michael De Luca
Simon Birch,Director,Mark Steven Johnson
Wes Craven's New Nightmare,Director,Wes Craven
The Last Godfather,Director,Shim Hyung-rae
The Last Godfather,Producer,Lorenzo O'Brien
The Lone Ranger,Director,Gore Verbinski
The Lone Ranger,Screenwriter,Justin Haythe
The Lone Ranger,Screenwriter,Ted Elliott
The Lone Ranger,Screenwriter,Terry Rossio
The Lone Ranger,Producer,Jerry Bruckheimer
The Lone Ranger,Producer,Gore Verbinski
Shattered Glass,Director,Billy Ray
Per qualche dollaro in più,Director,Sergio Leone
30 Minutes or Less,Director,Ruben Fleischer
30 Minutes or Less,Producer,Stuart Cornfeld
30 Minutes or Less,Producer,Ben Stiller
30 Minutes or Less,Producer,Jeremy Kramer
30 Minutes or Less,Screenwriter,Michael Diliberti
Finishing the Game,Director,Justin Lin
Get Him to the Greek,Screenwriter,Nicholas Stoller
Get Him to the Greek,Director,Nicholas Stoller
Get Him to the Greek,Producer,Judd Apatow
Get Him to the Greek,Producer,Nicholas Stoller
Get Him to the Greek,Producer,David Bushell
Get Him to the Greek,Producer,Rodney Rothman
Meet Joe Black,Director,Martin Brest
Meet Joe Black,Screenwriter,Ron Osborn
Meet Joe Black,Screenwriter,Jeff Reno
Meet Joe Black,Screenwriter,Kevin Wade
Meet Joe Black,Screenwriter,Bo Goldman
Meet Joe Black,Producer,Martin Brest
Down to Earth,Director,Paul Weitz
Down to Earth,Director,Chris Weitz
Our Idiot Brother,Director,Jesse Peretz
Our Idiot Brother,Producer,Anthony Bregman
Our Idiot Brother,Producer,Marc Turtletaub
Our Idiot Brother,Producer,Peter Saraf
Our Idiot Brother,Screenwriter,Evgenia Peretz
Our Idiot Brother,Screenwriter,David Schigall
Religulous,Director,Larry Charles
Buffalo '66,Director,Vincent Gallo
EDtv,Director,Ron Howard
Roll Bounce,Director,Malcolm D. Lee
Roll Bounce,Screenwriter,Norman Vance Jr.
Roll Bounce,Producer,Robert Teitel
Roll Bounce,Producer,"George Tillman, Jr"
Trust,Producer,David Schwimmer
Trust,Producer,Robert Greenhut
Trust,Producer,Heidi Jo Markel
Trust,Producer,Tom Hodges
Trust,Producer,Dana Golomb
Trust,Producer,Ed Cathell III
Trust,Director,David Schwimmer
Trust,Screenwriter,Andy Bellin
Leaves of Grass,Director,Tim Blake Nelson
The Best Years of Our Lives,Director,William Wyler
Star Wars: The Clone Wars,Director,Dave Filoni
Star Wars: The Clone Wars,Screenwriter,Henry Gilroy
Star Wars: The Clone Wars,Screenwriter,Steven Melching
Star Wars: The Clone Wars,Screenwriter,Scott Murphy
Star Wars: The Clone Wars,Producer,Catherine Winder
Garden State,Director,Zach Braff
Four Weddings and a Funeral,Director,Mike Newell
Boyz n the Hood,Director,John Singleton
Moneyball,Director,Bennett Miller
Moneyball,Producer,Michael De Luca
Moneyball,Producer,Rachael Horovitz
Moneyball,Producer,Brad Pitt
Moneyball,Screenwriter,Steven Zallian
Moneyball,Screenwriter,Aaron Sorkin
The Conjuring,Director,James Wan
The Conjuring,Screenwriter,Chad Hayes
The Conjuring,Screenwriter,Carey W. Hayes
The Conjuring,Producer,Tony DeRosa-Grund
The Conjuring,Producer,Peter Safran
The Conjuring,Producer,Rob Cowan
Quartet,Director,Dustin Hoffman
Quartet,Screenwriter,Ronald Harwood
Quartet,Producer,Finola Dwyer
Quartet,Producer,Stewart Mackinnon
Harry Potter and the Deathly Hallows: Part I,Director,David Yates
Harry Potter and the Deathly Hallows: Part I,Screenwriter,Steve Kloves
Harry Potter and the Deathly Hallows: Part I,Producer,David Heyman
Harry Potter and the Deathly Hallows: Part I,Producer,David Barron
Harry Potter and the Deathly Hallows: Part I,Producer,J.K. Rowling
Better Luck Tomorrow,Director,Justin Lin
Young Sherlock Holmes,Director,Barry Levinson
Young Sherlock Holmes,Screenwriter,Chris Columbus
Young Sherlock Holmes,Producer,Mark Johnson
The Men Who Stare at Goats,Screenwriter,Peter Straughan
The Men Who Stare at Goats,Director,Grant Heslov
The Land Before Time,Director,Don Bluth
The Land Before Time,Producer,Don Bluth
The Land Before Time,Producer,Gary Oldman
The Land Before Time,Producer,John Pomeroy
The Land Before Time,Screenwriter,Stu Krieger
Newlyweds,Screenwriter,Edward Burns
Newlyweds,Director,Edward Burns
Newlyweds,Producer,Aaron Lubin
Newlyweds,Producer,Edward Burns
Newlyweds,Producer,William Rexer II
Once Upon a Time in America,Director,Sergio Leone
The Insider,Director,Michael Mann
The Fantastic Mr. Fox,Director,Wes Anderson
The Fantastic Mr. Fox,Screenwriter,Wes Anderson
The Fantastic Mr. Fox,Screenwriter,Noah Baumbach
The Fantastic Mr. Fox,Producer,Allison Abbate
The Fantastic Mr. Fox,Producer,Scott Rudin
The Fantastic Mr. Fox,Producer,Wes Anderson
The Fantastic Mr. Fox,Producer,Jeremy Dawson
Young Adult,Producer,Lianne Halfon
Young Adult,Producer,Russell Smith
Young Adult,Producer,Diablo Cody
Young Adult,Producer,Mason Novick
Young Adult,Producer,Jason Reitman
Young Adult,Screenwriter,Diablo Cody
Young Adult,Director,Jason Reitman
Iguana,Director,Monte Hellman
The White Countess,Director,James Ivory
Code Name: The Cleaner,Director,Les Mayfield
"I Love You, Phillip Morris",Producer,Andrew Lazar
"I Love You, Phillip Morris",Producer,Far Shariat
"I Love You, Phillip Morris",Director,Glenn Ficarra
"I Love You, Phillip Morris",Director,John Requa
"I Love You, Phillip Morris",Screenwriter,Glenn Ficarra
"I Love You, Phillip Morris",Screenwriter,John Requa
Jackpot,Director,Mark Polish
Jackpot,Director,Michael Polish
Transcendence,Director,Wally Pfister
Transcendence,Screenwriter,Jack Paglen
Transcendence,Producer,Andrew A. Kosove
Transcendence,Producer,Broderick Johnson
Transcendence,Producer,Kate Cohen
Transcendence,Producer,Marisa Polvino
Transcendence,Producer,Annie Marter
Transcendence,Producer,David Valdes
Transcendence,Producer,Aaron Ryder
Much Ado About Nothing,Director,Kenneth Branagh
Duplex,Director,Danny De Vito
Kung Fu Panda,Director,Mark Osborne
Kung Fu Panda,Director,John Stevenson
Kung Fu Panda,Producer,Melissa Cobb
Kung Fu Panda,Screenwriter,Jonathan Aibel
Kung Fu Panda,Screenwriter,Glenn Berger
In Cold Blood,Director,Richard Brooks
Boys Don't Cry,Director,Kimberly Peirce
The Other Guys,Director,Adam McKay
The Other Guys,Producer,Will Ferrell
The Other Guys,Producer,Adam McKay
The Other Guys,Producer,Patrick Crowley
The Other Guys,Producer,Jimmy Miller
The Other Guys,Screenwriter,Adam McKay
The Other Guys,Screenwriter,Chris Henchy
Brokeback Mountain,Director,Ang Lee
Brokeback Mountain,Screenwriter,Larry McMurtry
Brokeback Mountain,Screenwriter,Diana Ossana
Brokeback Mountain,Producer,Diana Ossana
Brokeback Mountain,Producer,James Schamus
Nim's Island,Director,Mark Levin
Nim's Island,Director,Jennifer Flackett
Nim's Island,Screenwriter,Mark Levin
Nim's Island,Screenwriter,Jennifer Flackett
Nim's Island,Screenwriter,Joseph Kwong
Nim's Island,Screenwriter,Paula Mazur
Nim's Island,Producer,Paula Mazur
Public Enemies,Director,Michael Mann
Public Enemies,Screenwriter,Ronan Bennett
Public Enemies,Screenwriter,Michael Mann
Public Enemies,Screenwriter,Ann Biderman
Public Enemies,Producer,Kevin Misher
Public Enemies,Producer,Michael Mann
The Lost City,Director,Andy Garcia
Blades of Glory,Director,Will Speck
Blades of Glory,Director,Josh Gordon
Blades of Glory,Screenwriter,Jeff Cox
Blades of Glory,Screenwriter,Craig Cox
Blades of Glory,Screenwriter,John Altschuler
Blades of Glory,Screenwriter,Dave Krinsky
Blades of Glory,Producer,Ben Stiller
Blades of Glory,Producer,Stuart Cornfeld
Blades of Glory,Producer,John Jacobs
Scary Movie 2,Director,Keenen Ivory Wayans
Elle s'appelait Sarah,Director,Gilles Paquet-Brenner
Elle s'appelait Sarah,Producer,Stephane Marsil
Elle s'appelait Sarah,Screenwriter,Serge Joncour
Elle s'appelait Sarah,Screenwriter,Gilles Paquet-Brenner
The Princess Diaries,Director,Garry Marshall
The Princess Diaries,Screenwriter,Gina Wendkos
The Princess Diaries,Producer,Whitney Houston
The Princess Diaries,Producer,Debra Martin Chase
The Princess Diaries,Producer,Mario Iscovich
Beowulf,Director,Robert Zemeckis
Beowulf,Screenwriter,Neil Gaiman
Beowulf,Screenwriter,Roger Avary
Beowulf,Producer,Steve Starkey
Beowulf,Producer,Robert Zemeckis
Beowulf,Producer,Jack Rapke
Michael Collins,Director,Neil Jordan
Predator 2,Director,Stephen Hopkins
The Collection,Director,Marcus Dunstan
The Collection,Screenwriter,Marcus Dunstan
The Collection,Screenwriter,Patrick Melton
The Collection,Producer,Brett Forbes
The Collection,Producer,Mickey Liddell
The Collection,Producer,Jennifer Hilton Montroe
The Collection,Producer,Julie Richardson
The Collection,Producer,Patrick Rizzotti
The Prince,Director,Brian A. Miller
The Prince,Screenwriter,Andre Fabrizio
The Prince,Screenwriter,Jeremy Passmore
The Prince,Producer,Randall Emmett
The Prince,Producer,George Furla
The Prince,Producer,Samuel Y. Ha
The Prince,Producer,Huh Soo Young
The Prince,Producer,Adam Goldworm
Titan A.E.,Director,Don Bluth
Antwone Fisher,Director,Denzel Washington
Signs,Director,M. Night Shyamalan
Signs,Producer,M. Night Shyamalan
Signs,Producer,Frank Marshall
Signs,Producer,Sam Mercer
Signs,Screenwriter,M. Night Shyamalan
The Adventures of Pinocchio,Director,Steve Barron
Last Holiday,Director,Wayne Wang
Spider-Man 3,Director,Sam Raimi
Spider-Man 3,Screenwriter,Sam Raimi
Spider-Man 3,Screenwriter,Ivan Raimi
Spider-Man 3,Screenwriter,Alvin Sargent
Spider-Man 3,Producer,Laura Ziskin
Spider-Man 3,Producer,Avi Arad
Spider-Man 3,Producer,Grant Curtis
Sabotage,Director,David Ayer
Sabotage,Screenwriter,David Ayer
Sabotage,Screenwriter,Skip Woods
Sabotage,Producer,Bill Block
Sabotage,Producer,Paul Hanson
Sabotage,Producer,David Ayer
Sabotage,Producer,Ethan Smith
Sabotage,Producer,Palak Patel
Cop Out,Director,Kevin Smith
Cop Out,Producer,Marc Platt
Cop Out,Producer,Polly Johnsen
Cop Out,Producer,Michael Tadross
Cop Out,Screenwriter,Robb Cullen
Cop Out,Screenwriter,Mark Cullen
Four Christmases,Director,Seth Gordon
Four Christmases,Screenwriter,Matt R. Allen
Four Christmases,Screenwriter,Caleb Wilson
Four Christmases,Screenwriter,Jon Lucas
Four Christmases,Screenwriter,Scott Moore
Four Christmases,Producer,Roger Birnbaum
Four Christmases,Producer,Gary Barber
Four Christmases,Producer,Jonathan Glickman
FearDotCom,Director,William Malone
Spaceballs,Director,Mel Brooks
Cecil B. Demented,Director,John Waters
I Dreamed of Africa,Director,Hugh Hudson
Thor,Producer,Kevin Feige
Thor,Director,Kenneth Branagh
Thor,Screenwriter,Ashley Edward Miller
Thor,Screenwriter,Zack Stentz
Thor,Screenwriter,Don Payne
"The Twilight Saga: Breaking Dawn, Part 2",Producer,Wyck Godfrey
"The Twilight Saga: Breaking Dawn, Part 2",Producer,Karen Rosenfelt
"The Twilight Saga: Breaking Dawn, Part 2",Producer,Stephenie Meyer
"The Twilight Saga: Breaking Dawn, Part 2",Screenwriter,Melissa Rosenberg
"The Twilight Saga: Breaking Dawn, Part 2",Director,Bill Condon
"Girl, Interrupted",Director,James Mangold
Lee Daniels' The Butler,Director,Lee Daniels
Lee Daniels' The Butler,Screenwriter,Danny Strong
Lee Daniels' The Butler,Producer,Pamela Oas Williams
Lee Daniels' The Butler,Producer,Laura Ziskin
Lee Daniels' The Butler,Producer,Lee Daniels
Lee Daniels' The Butler,Producer,Buddy Patrick
Lee Daniels' The Butler,Producer,Cassian Elwes
First Knight,Director,Jerry Zucker
Narc,Director,Joe Carnahan
"Good Night, and Good Luck",Director,George Clooney
"Good Night, and Good Luck",Producer,Grant Heslov
Twins,Director,Ivan Reitman
Daylight,Director,Rob Cohen
Muppets Most Wanted,Director,James Bobin
Muppets Most Wanted,Screenwriter,James Bobin
Muppets Most Wanted,Screenwriter,Nicholas Stoller
Muppets Most Wanted,Producer,David Hoberman
