Movie Name,Critical Label,Critic Rating,Audience Label,Audience Rating
The Fugitive,Certified Fresh,96%,Upright,88%
The Great Gatsby,Rotten,49%,Upright,68%
Zombieland,Certified Fresh,90%,Upright,86%
It's Kind of a Funny Story,Rotten,58%,Upright,66%
World Trade Center,Fresh,68%,Upright,60%
Isn't She Great,Rotten,25%,Spilled,39%
Bridesmaids,Certified Fresh,90%,Upright,76%
Semi-Pro,Rotten,21%,Spilled,38%
Wild Things,Fresh,64%,Spilled,53%
Vampires Suck,Rotten,5%,Spilled,30%
The Brothers Grimm,Rotten,38%,Spilled,39%
ParaNorman,Certified Fresh,87%,Upright,72%
Hidalgo,Rotten,47%,Upright,65%
The Sum of All Fears,Rotten,59%,Spilled,50%
Finishing the Game,Rotten,35%,Spilled,48%
Raise Your Voice,Rotten,15%,Upright,71%
A Nightmare on Elm Street,Rotten,15%,Spilled,44%
I Want Your Money,Rotten,0%,Upright,67%
Grindhouse,Certified Fresh,83%,Upright,87%
Leaves of Grass,Rotten,59%,Spilled,49%
Love Ranch,Rotten,12%,Spilled,29%
Seven Years in Tibet,Fresh,61%,Upright,74%
Jack Frost,Rotten,20%,Spilled,40%
Legends of Oz: Dorothys Return,Rotten,16%,Upright,77%
High School Musical 3: Senior Year,Fresh,65%,Upright,72%
Barney's Version,Certified Fresh,80%,Upright,79%
The Newton Boys,Fresh,62%,Spilled,45%
Little Nicky,Rotten,22%,Spilled,57%
Delivery Man,Rotten,38%,Spilled,48%
Confidence,Fresh,70%,Upright,70%
Lara Croft: Tomb Raider,Rotten,19%,Spilled,48%
Men in Black 3,Fresh,70%,Upright,71%
The Work and the Glory,Rotten,17%,Upright,84%
Ice Age: The Meltdown,Rotten,57%,Upright,71%
One Hour Photo,Certified Fresh,81%,Upright,64%
Sleeper,Fresh,100%,Upright,82%
Your Highness,Rotten,27%,Spilled,34%
"O Brother, Where Art Thou?",Certified Fresh,77%,Upright,89%
Attack the Block,Certified Fresh,90%,Upright,74%
The First Wives Club,Rotten,39%,Upright,68%
All the Pretty Horses,Rotten,32%,Spilled,43%
Star Wars Ep. VI: Return of the Jedi,Certified Fresh,78%,Upright,95%
The Hudsucker Proxy,Rotten,58%,Upright,80%
Alexander,Rotten,16%,Spilled,35%
Fight Club,Certified Fresh,80%,Upright,96%
Minority Report,Certified Fresh,90%,Upright,80%
Star Wars: The Clone Wars,Rotten,18%,Spilled,39%
Zoolander,Fresh,64%,Upright,81%
The Flintstones in Viva Rock Vegas,Rotten,25%,Spilled,20%
Captain Corelli's Mandolin,Rotten,29%,Spilled,51%
Non-Stop,Fresh,60%,Upright,65%
American Pie,Fresh,61%,Upright,60%
Driving Miss Daisy,Certified Fresh,81%,Upright,82%
The Pineapple Express,Fresh,68%,Upright,73%
Final Destination 5,Fresh,61%,Spilled,52%
High Tension,Rotten,41%,Upright,67%
Luther,Rotten,44%,Upright,75%
Resident Evil: Apocalypse,Rotten,21%,Upright,61%
Blended,Rotten,14%,Upright,66%
Harry Potter and the Deathly Hallows: Part II,Certified Fresh,96%,Upright,89%
Twister,Rotten,58%,Spilled,58%
Swimfan,Rotten,14%,Spilled,32%
Never Let Me Go,Fresh,71%,Upright,71%
Lifeforce,Fresh,67%,Spilled,45%
There's Something About Mary,Certified Fresh,83%,Upright,60%
Super Mario Bros.,Rotten,16%,Spilled,29%
Doubt,Certified Fresh,78%,Upright,78%
City of Ember,Rotten,53%,Spilled,46%
Lonesome Jim,Fresh,60%,Spilled,57%
Prom,Rotten,36%,Spilled,40%
Star Trek,Certified Fresh,95%,Upright,91%
Thank You For Smoking,Certified Fresh,86%,Upright,87%
Sleepers,Certified Fresh,74%,Upright,85%
Talk Radio,Fresh,80%,Upright,81%
47 Ronin,Rotten,14%,Spilled,49%
The Muse,Rotten,52%,Spilled,34%
Iraq for Sale: The War Profiteers,Fresh,100%,Upright,86%
Vantage Point,Rotten,35%,Spilled,57%
Home Alone,Rotten,54%,Upright,79%
Paul Blart: Mall Cop,Rotten,33%,Spilled,43%
Shopgirl,Fresh,61%,Spilled,58%
Prefontaine,Rotten,59%,Upright,80%
Walking and Talking,Fresh,86%,Upright,72%
The Time Machine,Rotten,29%,Spilled,37%
Two Weeks Notice,Rotten,42%,Upright,60%
The Spirit,Rotten,14%,Spilled,25%
Boat Trip,Rotten,7%,Spilled,35%
eXistenZ,Fresh,71%,Upright,69%
Best in Show,Certified Fresh,95%,Upright,89%
For Love of the Game,Rotten,46%,Upright,76%
Spy Kids 2: The Island of Lost Dreams,Certified Fresh,74%,Spilled,38%
Days of Heaven,Certified Fresh,94%,Upright,89%
Proof,Fresh,62%,Spilled,59%
Before Midnight,Certified Fresh,98%,Upright,82%
Oblivion,Rotten,54%,Upright,61%
Per un pugno di dollari,Certified Fresh,98%,Upright,91%
The Merchant of Venice,Fresh,72%,Upright,72%
Les petits mouchoirs,Rotten,41%,Upright,64%
Slackers,Rotten,10%,Spilled,51%
The Last Stand,Fresh,60%,Spilled,54%
Volcano,Rotten,44%,Spilled,31%
Kung Pow: Enter the Fist,Rotten,11%,Upright,68%
Sleep Dealer,Fresh,66%,Spilled,50%
The Best Man Holiday,Fresh,68%,Upright,85%
Let Me In,Certified Fresh,88%,Upright,76%
The Cave,Rotten,11%,Spilled,28%
Inception,Certified Fresh,86%,Upright,91%
Life During Wartime,Fresh,69%,Spilled,47%
The Apparition,Rotten,3%,Spilled,25%
Never Back Down,Rotten,22%,Spilled,34%
Hobo with a Shotgun,Certified Fresh,66%,Spilled,58%
The Adventures of Pinocchio,Rotten,27%,Spilled,26%
Hereafter,Rotten,46%,Spilled,38%
Welcome to the Dollhouse,Certified Fresh,90%,Upright,86%
Shame,Certified Fresh,79%,Upright,75%
The Benchwarmers,Rotten,11%,Upright,65%
Almost Famous,Certified Fresh,88%,Upright,92%
Drive Angry,Rotten,45%,Spilled,37%
City Island,Certified Fresh,81%,Upright,80%
Mortal Kombat: Annihilation,Rotten,3%,Spilled,25%
Schindler's List,Certified Fresh,97%,Upright,97%
Harry Brown,Fresh,64%,Upright,75%
Quarantine,Rotten,58%,Spilled,44%
Rushmore,Certified Fresh,89%,Upright,91%
Sherrybaby,Certified Fresh,75%,Spilled,57%
Pontypool,Certified Fresh,82%,Upright,69%
Bobby Jones: Stroke of Genius,Rotten,26%,Upright,63%
The Funeral,Fresh,79%,Upright,68%
Winter's Tale,Rotten,13%,Spilled,45%
Dylan Dog: Dead of Night,Rotten,8%,Spilled,29%
The Ice Storm,Certified Fresh,84%,Upright,83%
House of Flying Daggers,Certified Fresh,88%,Upright,82%
Doug's 1st Movie,Rotten,26%,Spilled,30%
Ella Enchanted,Rotten,50%,Spilled,57%
Things to Do in Denver when You're Dead,Rotten,33%,Upright,74%
Tango,Fresh,67%,Upright,87%
To Save a Life,Rotten,33%,Upright,82%
Bad Lieutenant: Port of Call New Orleans,Certified Fresh,87%,Spilled,57%
How Do You Know?,Rotten,32%,Spilled,25%
Paint Your Wagon,Rotten,21%,Upright,69%
Heist,Fresh,65%,Upright,61%
3000 Miles to Graceland,Rotten,14%,Spilled,47%
RoboCop 3,Rotten,3%,Spilled,14%
Cavite,Fresh,73%,Spilled,55%
Fun Size ,Rotten,25%,Spilled,47%
Dumb & Dumber,Fresh,64%,Upright,84%
Fiddler on the Roof,Fresh,81%,Upright,93%
Haywire,Certified Fresh,80%,Spilled,40%
Olympus Has Fallen,Rotten,48%,Upright,67%
Sanctum,Rotten,30%,Spilled,38%
Angels & Demons,Rotten,37%,Spilled,57%
The Reader,Fresh,61%,Upright,79%
Another Year,Certified Fresh,93%,Upright,74%
The Sweetest Thing,Rotten,26%,Upright,66%
A Thin Line Between Love & Hate,Rotten,12%,Upright,77%
Apollo 13,Certified Fresh,95%,Upright,86%
Next Day Air,Rotten,21%,Spilled,31%
Joy Ride,Fresh,73%,Upright,65%
The Impossible,Certified Fresh,81%,Upright,85%
Transformers: Age of Extinction,Rotten,18%,Spilled,54%
Tristram Shandy: A Cock and Bull Story,Certified Fresh,90%,Upright,66%
Running With Scissors,Rotten,31%,Spilled,56%
Le Scaphandre et le Papillon,Certified Fresh,93%,Upright,92%
For Your Consideration,Rotten,51%,Spilled,43%
Love in the Time of Cholera,Rotten,26%,Spilled,45%
Everything Must Go,Certified Fresh,75%,Spilled,53%
Rock of Ages,Rotten,41%,Spilled,54%
Cidade de Deus,Certified Fresh,90%,Upright,97%
The Twilight Saga: Eclipse,Rotten,49%,Upright,60%
Get Smart,Rotten,51%,Upright,67%
à L'Intérieur,Fresh,83%,Upright,76%
Broken City,Rotten,28%,Spilled,41%
Eurotrip,Rotten,46%,Upright,75%
Dr. No,Fresh,98%,Upright,82%
The Dark Hours,Rotten,58%,Spilled,50%
The Killer Inside Me,Rotten,54%,Spilled,40%
Memento,Certified Fresh,92%,Upright,94%
Anastasia,Certified Fresh,86%,Upright,77%
"Six Days, Seven Nights",Rotten,36%,Spilled,36%
Prom Night,Rotten,8%,Spilled,38%
The Wash,Rotten,8%,Upright,65%
Don't Be Afraid of the Dark,Rotten,58%,Spilled,34%
Dead Man on Campus,Rotten,15%,Spilled,56%
Jade,Rotten,15%,Spilled,28%
Return to Oz,Rotten,55%,Upright,71%
Basquiat,Fresh,70%,Upright,77%
The Collection,Rotten,37%,Spilled,50%
Sydney White,Rotten,36%,Upright,70%
The Mexican,Rotten,56%,Spilled,44%
The Master,Certified Fresh,85%,Upright,60%
Flags of Our Fathers,Certified Fresh,73%,Upright,69%
Shaft,Fresh,68%,Spilled,41%
Simon,Fresh,60%,Upright,87%
Rambo: First Blood Part II,Rotten,29%,Upright,60%
Die Hard,Certified Fresh,92%,Upright,94%
Highlander: Endgame,Rotten,11%,Spilled,39%
Friday,Fresh,77%,Upright,91%
Must Love Dogs,Rotten,35%,Spilled,51%
Iris,Certified Fresh,79%,Upright,74%
Phat Girlz,Rotten,23%,Upright,64%
Sherlock Holmes: A Game of Shadows,Fresh,60%,Upright,77%
Casino,Certified Fresh,80%,Upright,93%
Now is Good,Rotten,58%,Upright,65%
The A-Team,Rotten,47%,Upright,66%
Contagion,Certified Fresh,84%,Upright,62%
Shutter,Rotten,7%,Spilled,33%
Tropic Thunder,Certified Fresh,83%,Upright,70%
Stomp the Yard,Rotten,26%,Upright,82%
The Constant Gardener,Certified Fresh,84%,Upright,82%
Highlander III: The Sorcerer,Rotten,5%,Spilled,29%
Katy Perry: Part of Me 3D,Certified Fresh,78%,Upright,72%
Christmas with the Kranks,Rotten,5%,Spilled,37%
The Lizzie McGuire Movie,Rotten,40%,Spilled,48%
Anonymous,Rotten,46%,Spilled,53%
Water for Elephants,Fresh,60%,Upright,70%
Braveheart,Certified Fresh,78%,Upright,85%
Captain Phillips,Certified Fresh,93%,Upright,90%
Lake Placid,Rotten,40%,Spilled,36%
From Dusk Till Dawn,Fresh,63%,Upright,77%
Divergent,Rotten,41%,Upright,72%
The Road,Certified Fresh,75%,Upright,68%
Splice,Certified Fresh,74%,Spilled,37%
Inglourious Basterds,Certified Fresh,88%,Upright,87%
Guess Who,Rotten,43%,Spilled,49%
Star Trek Into Darkness,Certified Fresh,87%,Upright,90%
Match Point,Certified Fresh,76%,Upright,81%
Newlyweds,Fresh,70%,Spilled,54%
Legends of the Fall,Rotten,56%,Upright,87%
The Lawnmower Man,Rotten,38%,Spilled,32%
Religulous,Fresh,69%,Upright,78%
The Evil Dead,Fresh,98%,Upright,84%
Wayne's World,Certified Fresh,85%,Upright,85%
Johnny English,Rotten,33%,Spilled,51%
Armored,Rotten,41%,Spilled,31%
Paranoia,Rotten,5%,Spilled,36%
Home for the Holidays,Fresh,63%,Upright,73%
Hellraiser,Fresh,63%,Upright,74%
Mary Poppins,Fresh,100%,Upright,86%
The Big Parade,Fresh,100%,Upright,91%
Edward Scissorhands,Certified Fresh,91%,Upright,91%
Eve's Bayou,Certified Fresh,80%,Upright,90%
Step Up,Rotten,19%,Upright,83%
Duplicity,Fresh,64%,Spilled,37%
Dazed and Confused,Certified Fresh,94%,Upright,90%
Extract,Fresh,63%,Spilled,38%
Jack and Jill,Rotten,3%,Spilled,37%
Freddy vs. Jason,Rotten,41%,Spilled,50%
The Day the Earth Stood Still,Rotten,21%,Spilled,27%
Mission to Mars,Rotten,25%,Spilled,30%
Poltergeist,Certified Fresh,87%,Upright,78%
Gigli,Rotten,6%,Spilled,13%
Labor Day,Rotten,33%,Spilled,55%
JFK,Certified Fresh,85%,Upright,89%
Zoom,Rotten,3%,Spilled,32%
Fled,Rotten,14%,Spilled,23%
Casablanca,Certified Fresh,97%,Upright,95%
The Namesake,Certified Fresh,86%,Upright,79%
On Her Majesty's Secret Service,Certified Fresh,81%,Upright,64%
The Matador,Certified Fresh,74%,Upright,66%
Set It Off,Fresh,63%,Upright,90%
Tom yum goong,Rotten,54%,Upright,76%
Hellboy 2: The Golden Army,Certified Fresh,87%,Upright,70%
Bruce Almighty,Rotten,48%,Spilled,57%
Changeling,Fresh,63%,Upright,82%
Halloween: H2O,Rotten,51%,Spilled,49%
Gulliver's Travels,Rotten,21%,Spilled,27%
On the Outs,Fresh,94%,Upright,86%
Love and Death on Long Island,Fresh,86%,Spilled,57%
Confessions of a Dangerous Mind,Certified Fresh,79%,Upright,76%
Melancholia,Certified Fresh,78%,Upright,67%
Friends with Money,Fresh,72%,Spilled,40%
Homefront,Rotten,42%,Upright,61%
The Matrix,Certified Fresh,87%,Upright,85%
Cape Fear,Certified Fresh,76%,Upright,77%
The Quiet,Rotten,21%,Spilled,52%
Harriet the Spy,Rotten,48%,Spilled,51%
Independence Day,Fresh,60%,Upright,75%
Shrek 2,Certified Fresh,89%,Upright,69%
Escape from L.A.,Rotten,53%,Spilled,40%
Archaeology of a Woman,Fresh,60%,Upright,60%
Troop Beverly Hills,Rotten,8%,Upright,61%
Forty Shades of Blue,Fresh,61%,Spilled,44%
"I Love You, Phillip Morris",Certified Fresh,72%,Upright,61%
"Legally Blonde 2: Red, White & Blonde",Rotten,38%,Spilled,44%
AVP: Alien Vs. Predator,Rotten,21%,Spilled,39%
Dear John,Rotten,28%,Spilled,55%
Fantasia,Certified Fresh,96%,Upright,83%
Now You See Me,Rotten,50%,Upright,71%
Lets Be Cops,Rotten,20%,Upright,62%
Dickie Roberts: Former Child Star,Rotten,23%,Spilled,47%
Pocahontas,Rotten,56%,Upright,64%
22 Jump Street,Certified Fresh,84%,Upright,83%
2012,Rotten,39%,Spilled,47%
Bad Teacher,Rotten,45%,Spilled,36%
Gandhi,Certified Fresh,87%,Upright,93%
Amelia,Rotten,20%,Spilled,31%
Metallica Through the Never,Certified Fresh,78%,Upright,75%
Love Actually,Fresh,63%,Upright,73%
The Descendants,Certified Fresh,89%,Upright,79%
Panic,Certified Fresh,91%,Upright,61%
Kung Fu Panda 2,Certified Fresh,81%,Upright,74%
8MM,Rotten,23%,Spilled,52%
Dune,Rotten,55%,Upright,68%
From Hell,Rotten,57%,Upright,66%
Grave Encounters,Rotten,50%,Spilled,48%
Rabbit Hole,Certified Fresh,86%,Upright,72%
The Da Vinci Code,Rotten,25%,Spilled,57%
The Texas Chainsaw Massacre: The Beginning,Rotten,12%,Spilled,54%
Pompeii,Rotten,29%,Spilled,36%
Hocus Pocus,Rotten,33%,Upright,70%
La mala educación,Certified Fresh,88%,Upright,86%
Chicago,Certified Fresh,87%,Upright,83%
Child's Play,Fresh,69%,Upright,62%
The Squid and the Whale,Certified Fresh,93%,Upright,81%
Woman on Top,Rotten,34%,Spilled,43%
Wimbledon,Fresh,60%,Spilled,57%
Observe and Report,Rotten,51%,Spilled,37%
Red Eye,Certified Fresh,79%,Upright,64%
Borat,Certified Fresh,91%,Upright,79%
A Nightmare On Elm Street 3: Dream Warriors,Fresh,74%,Upright,67%
The Bourne Identity,Certified Fresh,83%,Upright,93%
Notes on a Scandal,Certified Fresh,87%,Upright,83%
Jefferson in Paris,Rotten,33%,Spilled,35%
"Life, or Something Like It",Rotten,28%,Spilled,45%
Lee Daniels' The Butler,Fresh,73%,Upright,78%
Mr. Smith Goes To Washington,Fresh,94%,Upright,94%
Ocean's Eleven,Certified Fresh,82%,Upright,79%
Adventureland,Certified Fresh,89%,Upright,60%
Toy Story,Certified Fresh,100%,Upright,92%
Serenity,Certified Fresh,82%,Upright,91%
Pirates of the Caribbean: The Curse of the Black Pearl,Certified Fresh,79%,Upright,86%
The Count of Monte Cristo,Fresh,73%,Upright,88%
Brooklyn's Finest,Rotten,43%,Spilled,46%
The Incredible Hulk,Fresh,67%,Upright,72%
If I Stay,Rotten,38%,Upright,68%
Eye for an Eye,Rotten,8%,Spilled,57%
Gwoemul,Certified Fresh,93%,Upright,72%
A Mighty Wind,Certified Fresh,88%,Upright,75%
Hall Pass,Rotten,34%,Spilled,41%
Safe,Rotten,57%,Spilled,59%
Malcolm X,Certified Fresh,91%,Upright,91%
Joyeux Noël,Certified Fresh,76%,Upright,90%
Sense and Sensibility,Certified Fresh,98%,Upright,90%
Before Sunset,Certified Fresh,95%,Upright,92%
Witchboard,Rotten,50%,Spilled,43%
I Hope They Serve Beer in Hell,Rotten,20%,Spilled,42%
Spanglish,Rotten,53%,Upright,61%
Hannibal,Rotten,39%,Upright,63%
The Avengers,Certified Fresh,92%,Upright,91%
Kung Fu Panda,Certified Fresh,87%,Upright,82%
The Flintstones,Rotten,22%,Spilled,24%
Kinsey,Certified Fresh,90%,Upright,75%
The Quick and the Dead,Rotten,55%,Spilled,54%
The Peacemaker,Rotten,41%,Spilled,39%
The Greatest,Rotten,52%,Spilled,54%
On the Waterfront,Certified Fresh,100%,Upright,95%
Sky Captain and the World of Tomorrow,Fresh,72%,Spilled,46%
Friends with Benefits,Fresh,70%,Upright,66%
The Book of Eli,Rotten,48%,Upright,64%
Moulin Rouge,Certified Fresh,76%,Upright,90%
Death to Smoochy,Rotten,42%,Upright,66%
I Want Someone To Eat Cheese With,Fresh,72%,Spilled,39%
Enough Said,Certified Fresh,96%,Upright,76%
From Justin to Kelly,Rotten,10%,Spilled,38%
Zero Effect,Fresh,64%,Upright,77%
Pathology,Rotten,43%,Spilled,40%
Home Alone 2: Lost in New York,Rotten,24%,Upright,61%
Critical Care,Rotten,59%,Spilled,33%
Double Jeopardy,Rotten,25%,Upright,62%
Salvador,Fresh,92%,Upright,86%
The Holiday,Rotten,47%,Upright,80%
Legend,Rotten,48%,Upright,74%
Just Married,Rotten,19%,Spilled,48%
The Taking of Pelham 123,Rotten,51%,Spilled,52%
Without a Paddle,Rotten,14%,Upright,69%
Tomorrow Never Dies,Rotten,57%,Spilled,54%
Gangs of New York,Certified Fresh,75%,Upright,81%
Keeping the Faith,Fresh,69%,Upright,60%
Cradle 2 the Grave,Rotten,26%,Spilled,53%
Spartacus,Certified Fresh,96%,Upright,87%
Foolish,Rotten,0%,Upright,69%
Rush Hour 2,Rotten,52%,Upright,74%
Fortress,Rotten,40%,Spilled,39%
Glee: The 3D Concert Movie,Fresh,60%,Upright,65%
Cutthroat Island,Rotten,37%,Spilled,40%
Charlie and the Chocolate Factory,Certified Fresh,82%,Spilled,51%
Green Zone,Rotten,53%,Spilled,57%
Gnomeo and Juliet,Rotten,55%,Spilled,55%
Grown Ups,Rotten,10%,Upright,62%
Dear Frankie,Certified Fresh,81%,Upright,91%
Redacted,Rotten,44%,Spilled,45%
Bowling for Columbine,Certified Fresh,96%,Upright,83%
Furry Vengeance,Rotten,8%,Spilled,31%
The Secret Life of Walter Mitty,Rotten,50%,Upright,71%
Bolt,Certified Fresh,88%,Upright,74%
Thr3e,Rotten,5%,Spilled,51%
The Thirteenth Floor,Rotten,29%,Upright,64%
Snow White and the Huntsman,Rotten,48%,Spilled,52%
Tangled,Certified Fresh,89%,Upright,87%
The Good Heart,Rotten,31%,Spilled,58%
Bill & Ted's Bogus Journey,Rotten,57%,Spilled,56%
Do the Right Thing,Certified Fresh,96%,Upright,90%
The Guard,Certified Fresh,95%,Upright,81%
The Stepfather,Rotten,11%,Spilled,35%
All Good Things,Rotten,32%,Spilled,38%
The Wolverine,Fresh,69%,Upright,70%
The Wolfman,Rotten,34%,Spilled,33%
El Mariachi,Fresh,93%,Upright,76%
Amadeus,Certified Fresh,95%,Upright,95%
Spellbound,Fresh,85%,Upright,83%
Enemy at the Gates,Rotten,54%,Upright,83%
Renaissance Man,Rotten,17%,Spilled,53%
Submarine,Certified Fresh,86%,Upright,81%
Insidious Chapter 2,Rotten,38%,Spilled,58%
Austin Powers in Goldmember,Rotten,54%,Spilled,44%
Fabled,Rotten,40%,Spilled,25%
Mad Max 2: The Road Warrior,Fresh,100%,Upright,85%
Return of the Living Dead Part II,Rotten,0%,Spilled,44%
Wyatt Earp,Rotten,42%,Upright,62%
John Q,Rotten,23%,Upright,79%
The Dangerous Lives of Altar Boys,Certified Fresh,77%,Upright,79%
The X-Files: I Want to Believe,Rotten,32%,Spilled,32%
Alien,Certified Fresh,97%,Upright,94%
Black Rain,Rotten,52%,Spilled,56%
Son of the Mask,Rotten,6%,Spilled,16%
Reindeer Games,Rotten,25%,Spilled,28%
Suspect Zero,Rotten,18%,Spilled,39%
The Outsiders,Fresh,65%,Upright,83%
Rumble in the Bronx,Certified Fresh,79%,Upright,64%
The Legend of Zorro,Rotten,26%,Spilled,49%
Fast & Furious,Rotten,27%,Upright,68%
Straw Dogs,Rotten,41%,Spilled,34%
Moneyball,Certified Fresh,94%,Upright,86%
The Cabin in the Woods,Certified Fresh,92%,Upright,73%
She's the One,Fresh,61%,Spilled,41%
Blade,Rotten,55%,Upright,78%
Layer Cake,Certified Fresh,81%,Upright,85%
The Curse of the Jade Scorpion,Rotten,45%,Spilled,54%
The Mist,Fresh,73%,Upright,65%
Starsuckers,Fresh,73%,Upright,70%
Unforgiven,Certified Fresh,95%,Upright,94%
Star Trek VI: The Undiscovered Country,Certified Fresh,83%,Upright,83%
Meet the Browns,Rotten,32%,Upright,70%
The Signal,Rotten,57%,Spilled,58%
Raiders of the Lost Ark,Certified Fresh,95%,Upright,96%
Connie & Carla,Rotten,44%,Upright,71%
Lolita,Fresh,67%,Upright,76%
Executive Decision,Fresh,63%,Spilled,53%
Trance,Fresh,68%,Upright,63%
City Hall,Rotten,54%,Spilled,38%
The Gift,Rotten,57%,Spilled,56%
Mandela: Long Walk to Freedom,Rotten,59%,Upright,70%
Dayereh,Certified Fresh,93%,Upright,79%
Witless Protection,Rotten,3%,Spilled,45%
Spring Breakers,Fresh,65%,Spilled,39%
License to Wed,Rotten,7%,Spilled,53%
Breakin' All the Rules,Rotten,31%,Spilled,58%
Garfield,Rotten,15%,Spilled,38%
Despicable Me 2,Certified Fresh,74%,Upright,85%
Charlie's Angels: Full Throttle,Rotten,44%,Spilled,41%
Gerry,Fresh,61%,Upright,62%
A Stir of Echoes,Fresh,67%,Upright,70%
House of Sand and Fog,Certified Fresh,75%,Upright,83%
Beyond the Black Rainbow,Rotten,48%,Spilled,52%
The Time Traveler's Wife,Rotten,37%,Spilled,59%
Ghost Rider: Spirit of Vengeance,Rotten,18%,Spilled,32%
The Damned United,Certified Fresh,94%,Upright,85%
Absolute Power,Rotten,45%,Spilled,52%
Jesus' Son,Certified Fresh,81%,Upright,83%
Head Over Heels,Rotten,10%,Spilled,57%
My Date With Drew,Fresh,71%,Spilled,57%
Precious (Based on the Novel Push by Sapphire),Certified Fresh,91%,Upright,81%
The Negotiator,Certified Fresh,75%,Upright,79%
Possession,Fresh,65%,Spilled,58%
Flashdance,Rotten,33%,Upright,63%
Edmond,Rotten,46%,Spilled,45%
Monster-in-Law,Rotten,16%,Spilled,55%
Stay Alive,Rotten,9%,Spilled,55%
Drillbit Taylor,Rotten,25%,Spilled,44%
Miracle,Certified Fresh,80%,Upright,90%
Gravity,Certified Fresh,97%,Upright,81%
Touching the Void,Certified Fresh,93%,Upright,92%
Lethal Weapon,Certified Fresh,84%,Upright,85%
Secret Window,Rotten,47%,Upright,66%
Secrets & Lies,Fresh,94%,Upright,91%
Jindabyne,Fresh,65%,Spilled,50%
Man of the Year,Rotten,21%,Spilled,45%
Earth to Echo,Rotten,48%,Spilled,51%
The River Wild,Rotten,55%,Spilled,51%
The 6th Day,Rotten,41%,Spilled,32%
Paranormal Activity 2,Rotten,58%,Spilled,49%
The Adventures of Rocky & Bullwinkle,Rotten,43%,Spilled,19%
One Missed Call,Rotten,0%,Spilled,29%
Jason X,Rotten,20%,Spilled,25%
Mystic Pizza,Fresh,78%,Spilled,54%
Le Petit Nicolas,Fresh,60%,Upright,73%
RocknRolla,Rotten,59%,Upright,71%
A Hard Day's Night,Certified Fresh,99%,Upright,90%
The Mortal Instruments: City of Bones,Rotten,12%,Spilled,59%
The Astronaut's Wife,Rotten,16%,Spilled,33%
Sex with Strangers,Rotten,39%,Spilled,50%
The Wrong Man,Fresh,89%,Upright,75%
Into the Storm,Rotten,21%,Spilled,49%
Inkheart,Rotten,39%,Spilled,45%
Gossip,Rotten,28%,Spilled,47%
Prometheus,Certified Fresh,73%,Upright,69%
