Movie Name,Release Date,Genre,Budget,Gross,RT Critic Label,RT Critic Rating,RT Audience Label,RT Audience Rating,IMDB Rating,Directors,Producers,Sreenwriters,Actors
A Time to Kill, 1996/7/24,Drama,40000000.0,108766007.0,Fresh,67%,Upright,86%,7.4,Joel Schumacher,Arnon Milchan|Michael Nathanson|Hunt Lowry|John Grisham,Akiva Goldsman,Sandra Bullock|Samuel L. Jackson|Matthew McConaughey|Kevin Spacey|Brenda Fricker
Hercules, 2014/7/25,Action,100000000.0,71736101.0,Fresh,60%,Spilled,58%,6.4,Brett Ratner,Beau Flynn|Barry Levine|Brett Ratner,Ryan J. Condal|Evan Spiliotopoulos,Dwayne Johnson|Ian McShane|Rufus Sewell|Joseph Fiennes|Peter Mullan
Riding in Cars with Boys, 2001/10/19,Drama,47000000.0,29781453.0,Rotten,49%,Upright,67%,6.5,Penny Marshall,James L. Brooks|Julie Ansell|Richard Sakai|Sara Colleton|Laurence Mark,Morgan Upton Ward,Drew Barrymore|Steve Zahn|Brittany Murphy|Adam Garcia|Lorraine Bracco
Taps, 1981/12/9,Drama,14000000.0,35856053.0,Fresh,75%,Upright,67%,6.7,Harold Becker,Stanley R. Jaffe|Howard B. Jaffe,Darryl Ponicsan|Robert Mark Kamen,George C. Scott|Timothy Hutton|Ronny Cox|Sean Penn|Tom Cruise
Evan Almighty, 2007/6/22,Comedy,175000000.0,100289690.0,Rotten,23%,Spilled,52%,5.4,Tom Shadyac,Gary Barber|Roger Birnbaum|Neal H. Moritz|Tom Shadyac|Michael Bostick,Steve Oedekerk,Steve Carell|Morgan Freeman|Lauren Graham|John Goodman|John Michael Higgins
Jack Reacher, 2012/12/21,Drama,60000000.0,80070736.0,Fresh,61%,Upright,67%,7.0,Christopher McQuarrie,Tom Cruise|Don Granger|Paula Wagner|Gary Levinsohn,Christopher McQuarrie,Tom Cruise|Rosamund Pike|Richard Jenkins|David Oyelowo|Werner Herzog
The Tourist, 2010/12/10,Thriller/Suspense,100000000.0,67631157.0,Rotten,20%,Spilled,42%,6.0,Florian Henckel von Donnersmarck,Graham King|Tim Headington|Roger Birnbaum|Gary Barber|Jonathan Glickman,Florian Henckel von Donnersmarck|Christopher McQuarrie|Julian Fellowes,Johnny Depp|Angelina Jolie|Paul Bettany|Timothy Dalton|Steven Berkoff
The Amazing Spider-Man, 2012/7/3,Adventure,220000000.0,262030663.0,Certified Fresh,73%,Upright,77%,7.1,Marc Webb,Laura Ziskin|Avi Arad|Matt Tolmach,James Vanderbilt|Alvin Sargent|Steve Kloves,Andrew Garfield|Emma Stone|Rhys Ifans|C. Thomas Howell|Campbell Scott
Bedtime Stories, 2008/12/25,Comedy,80000000.0,110101975.0,Rotten,25%,Spilled,56%,6.1,Adam Shankman,Andrew Gunn|Adam Sandler|Jack Giarraputo,Matt Lopez|Tim Herlihy,Adam Sandler|Keri Russell|Guy Pearce|Russell Brand|Richard Griffiths
Changeling, 2008/10/24,Thriller/Suspense,55000000.0,35739802.0,Fresh,63%,Upright,82%,7.8,Clint Eastwood,Clint Eastwood|Brian Grazer|Ron Howard|Robert Lorenz,J. Michael Straczynski,Angelina Jolie|John Malkovich|Jeffrey Donovan|Michael Kelly|Colm Feore
Man of Steel, 2013/6/14,Action,225000000.0,291045518.0,Rotten,56%,Upright,76%,7.3,Zack Snyder,Charles Roven|Christopher Nolan|Emma Thomas|Deborah Snyder,David Goyer,Henry Cavill|Amy Adams|Michael Shannon|Kevin Costner|Diane Lane
TMNT, 2007/3/23,Action,35000000.0,54149098.0,Rotten,34%,Upright,61%,6.4,Kevin Munroe,Thomas K. Gray|H. Galen Walker|Paul Wang,Kevin Munroe,James Arnold Taylor|Nolan North|Mitchell Whitfield|Mikey Kelley|Chris Evans
The Wolfman, 2010/2/12,Horror,150000000.0,62189884.0,Rotten,34%,Spilled,33%,5.8,Joe Johnston,Scott Stuber|Benicio Del Toro|Rick Yorn|Sean Daniel,Andrew Kevin Walker|David Self|Curt Siodmak,Benicio Del Toro|Anthony Hopkins|Emily Blunt|Hugo Weaving|Art Malik
Skyline, 2010/11/12,Thriller/Suspense,10000000.0,21416355.0,Rotten,15%,Spilled,18%,4.4,Brothers Strause,Brothers Strause|Kristian James Andresen|Liam O'Donnell,Joshua Cordes|Liam O'Donnell,Eric Balfour|Scottie Thompson|Brittany Daniel|Crystal Reed|Neil Hopkins
Knocked Up, 2007/6/1,Romantic Comedy,27500000.0,148761765.0,Certified Fresh,90%,Upright,83%,7.1,Judd Apatow,Judd Apatow|Shauna Robertson|Clayton Townsend,Judd Apatow,Seth Rogen|Katherine Heigl|Leslie Mann|Paul Rudd|Jason Segel
The Cable Guy, 1996/6/14,Comedy,47000000.0,60240295.0,Rotten,54%,Spilled,51%,6.0,Ben Stiller,Andrew Licht|Jeffrey Mueller|Judd Apatow,Judd Apatow,Jim Carrey|Matthew Broderick|Leslie Mann|George Segal|Jack Black
X-Men, 2000/7/14,Action,75000000.0,157299717.0,Certified Fresh,82%,Upright,83%,7.4,Bryan Singer,Lauren Shuler Donner|Ralph Winter,David Hayter,Patrick Stewart|Hugh Jackman|Ian McKellen|Halle Berry|Famke Janssen
Maid in Manhattan, 2002/12/13,Romantic Comedy,55000000.0,93932896.0,Rotten,39%,Spilled,43%,4.9,Wayne Wang,Elaine Goldsmith-Thomas|Deborah Schindler|Paul Schiff,Kevin Wade,Jennifer Lopez|Ralph Fiennes|Natasha Richardson|Stanley Tucci|Bob Hoskins
The Day After Tomorrow, 2004/5/28,Adventure,125000000.0,186740799.0,Rotten,45%,Spilled,50%,6.4,Roland Emmerich,Mark Gordon|Roland Emmerich,Roland Emmerich|Jeffrey Nachmanoff,Dennis Quaid|Jake Gyllenhaal|Ian Holm|Emmy Rossum|Sela Ward
The Assassination of Jesse James by the Coward Robert Ford, 2007/9/21,Western,30000000.0,3909149.0,Certified Fresh,76%,Upright,75%,7.6,Andrew Dominik,Brad Pitt|Dede Gardner|Ridley Scott|Jules Daly|David Valdes,Andrew Dominik,Brad Pitt|Casey Affleck|Sam Shepard|Mary-Louise Parker|Paul Schneider
Spy Kids, 2001/3/30,Adventure,35000000.0,112692062.0,Certified Fresh,93%,Spilled,45%,5.4,Robert Rodriguez,Elizabeth Avellan|Robert Rodriguez,Robert Rodriguez,Antonio Banderas|Carla Gugino|Alexa Vega|Daryl Sabara|Alan Cumming
Do the Right Thing, 1989/6/30,Comedy,6000000.0,26004026.0,Certified Fresh,96%,Upright,90%,7.9,Spike Lee,Spike Lee,Spike Lee,Danny Aiello|Ossie Davis|Ruby Dee|Richard Edson|Giancarlo Esposito
Little Fockers, 2010/12/22,Comedy,100000000.0,148438600.0,Rotten,10%,Spilled,35%,5.4,Paul Weitz,Jane Rosenthal|Robert De Niro|Jay Roach|John Hamburg,John Hamburg|Larry Stuckey,Robert De Niro|Ben Stiller|Owen Wilson|Blythe Danner|Teri Polo
Captain America: The First Avenger, 2011/7/22,Action,140000000.0,176654505.0,Certified Fresh,79%,Upright,74%,6.8,Joe Johnston,Kevin Feige,Christopher Markus|Stephen McFeely,Chris Evans|Tommy Lee Jones|Hugo Weaving|Sebastian Stan|Hayley Atwell
Syriana, 2005/11/23,Thriller/Suspense,50000000.0,50824620.0,Certified Fresh,72%,Upright,68%,7.0,Stephen Gaghan,Jennifer Fox|Michael Nozik|Georgia Kacandes,Stephen Gaghan,George Clooney|Matt Damon|Jeffrey Wright|Chris Cooper|William Hurt
Basic, 2003/3/28,Thriller/Suspense,50000000.0,26599248.0,Rotten,21%,Upright,64%,6.5,John McTiernan,Mike Medavoy|Arnie Messer|James Vanderbilt|Michael Tadross,James Vanderbilt,John Travolta|Samuel L. Jackson|Connie Nielsen|Giovanni Ribisi|Brian Van Holt
This is the End, 2013/6/12,Comedy,32000000.0,101470202.0,Certified Fresh,83%,Upright,72%,6.8,Seth Rogen|Evan Goldberg,Seth Rogen|Evan Goldberg|James Weaver,Seth Rogen|Evan Goldberg,James Franco|Jonah Hill|Seth Rogen|Jay Baruchel|Danny McBride
Epic, 2013/5/24,Adventure,100000000.0,107518682.0,Fresh,64%,Upright,66%,6.7,Chris Wedge,Lori Forte|Jerry Davis,James V. Hart|William Joyce|Dan Shere|Tom J. Astle|Matt Ember,Colin Farrell|Josh Hutcherson|Amanda Seyfried|Christoph Waltz|Beyonce Knowles
Pompeii, 2014/2/21,Drama,80000000.0,23169033.0,Rotten,29%,Spilled,36%,5.6,Paul W.S. Anderson,Jeremy Bolt|Paul W.S. Anderson|Robert Kulzer|Don Carmody,Janet Scott Batchler|Lee Batchler|Michael Robert Johnson,Kit Harington|Carrie Anne Moss|Emily Browning|Adewale Akinnuoye-Agbaje|Jessica Lucas
Jumper, 2008/2/14,Adventure,82500000.0,81168265.0,Rotten,16%,Spilled,44%,6.0,Doug Liman,Arnon Milchan|Lucas Foster|Jay Sanders|Simon Kinberg,David S. Goyer|Jim Uhls,Hayden Christensen|Jamie Bell|Samuel L. Jackson|Rachel Bilson|Diane Lane
Oculus, 2014/4/11,Horror,5000000.0,27695246.0,Fresh,74%,Spilled,53%,6.5,Mike Flanagan,Trevor Macy|Marc D. Evans,Mike Flanagan|Jeff Howard,Karen Gillan|Brenton Thwaites|Katee Sackhoff|Rory Cochrane|Annalise Basso
The Fugitive, 1993/8/6,Thriller/Suspense,44000000.0,183875760.0,Certified Fresh,96%,Upright,88%,7.8,Andrew Davis,Arnold Kopelson,Jeb Stuart|David Twohy,Harrison Ford|Tommy Lee Jones|Sela Ward|Joe Pantoliano|Andreas Katsulas
Gone with the Wind, 1939/12/15,Drama,3900000.0,198680470.0,Certified Fresh,95%,Upright,93%,8.2,Victor Fleming|George Cukor|Sam Wood,David O Selznick,Sidney Howard,Vivien Leigh|Clark Gable|Leslie Howard|Olivia de Havilland|Hattie McDaniel
The Punisher, 2004/4/16,Action,33000000.0,33664370.0,Rotten,29%,Upright,64%,6.4,Jonathan Hensleigh,Gale Anne Hurd,Jonathan Hensleigh|Michael France,Thomas Jane|John Travolta|Will Patton|Roy Scheider|Laura Harring
The Heat, 2013/6/28,Comedy,43000000.0,159581587.0,Fresh,65%,Upright,72%,6.7,Paul Feig,Peter Chernin|Jenno Topping,Katie Dippold,Sandra Bullock|Melissa McCarthy|Demián Bichir|Marlon Wayans|Michael Rapaport
The Peacemaker, 1997/9/26,Action,50000000.0,41263140.0,Rotten,41%,Spilled,39%,5.9,Mimi Leder,Walter Parkes|Branko Lustig,Michael Schiffer,George Clooney|Nicole Kidman|Marcel Iures|Alexander Baluyev|Rene Medvesek
Reindeer Games, 2000/2/25,Action,36000000.0,23360779.0,Rotten,25%,Spilled,28%,5.7,John Frankenheimer,Marty Katz|Bob Weinstein|Chris Moore,Ehren Kruger,Ben Affleck|Gary Sinise|Charlize Theron|Dennis Farina|James Frain
Shakespeare in Love, 1998/12/11,Romantic Comedy,26000000.0,100317794.0,Certified Fresh,92%,Upright,80%,7.2,John Madden,David Parfitt|Donna Gigliotti|Harvey Weinstein|Edward Zwick|Marc Norman,Marc Norman|Tom Stoppard,Gwyneth Paltrow|Joseph Fiennes|Geoffrey Rush|Colin Firth|Ben Affleck
A Million Ways to Die in The West, 2014/5/30,Comedy,40000000.0,42720965.0,Rotten,33%,Spilled,43%,6.2,Seth MacFarlane,Scott Stuber|Seth MacFarlane|Jason Clark,Alec Sulkin|Seth MacFarlane|Wellesley Wild,Seth MacFarlane|Charlize Theron|Amanda Seyfried|Giovanni Ribisi|Neil Patrick Harris
Charlie's Angels, 2000/11/3,Adventure,90000000.0,125305545.0,Fresh,67%,Spilled,45%,5.5,Joseph McGinty Nichol,Leonard Goldberg|Drew Barrymore|Nancy Juvonen,Ryan Rowe|Ed Solomon|John August,Cameron Diaz|Drew Barrymore|Lucy Alexis Liu|Bill Murray|Sam Rockwell
Toy Story 3, 2010/6/18,Adventure,200000000.0,415004880.0,Certified Fresh,99%,Upright,89%,8.4,Lee Unkrich,Darla Anderson,Michael Arndt,Tom Hanks|Tim Allen|Joan Cusack|Ned Beatty|Don Rickles
Here Comes the Boom, 2012/10/12,Comedy,42000000.0,45290318.0,Rotten,38%,Upright,66%,6.5,Frank Coraci,Todd Garner|Kevin James,Allan Loeb|Kevin James,Kevin James|Salma Hayek|Henry Winkler|Greg Germann|Joe Rogan
Super 8, 2011/6/9,Thriller/Suspense,50000000.0,127004179.0,Certified Fresh,82%,Upright,75%,7.1,J.J. Abrams,Steven Spielberg|J.J. Abrams|Bryan Burk,J.J. Abrams,Kyle Chandler|Elle Fanning|Joel Courtney|Gabriel Basso|Noah Emmerich
Sherlock Holmes: A Game of Shadows, 2011/12/16,Action,125000000.0,186848418.0,Fresh,60%,Upright,77%,7.5,Guy Ritchie,Joel Silver|Lionel Wigram|Susan Downey|Dan Lin,Michele Mulroney|Kieran Mulroney,"Robert Downey, Jr.|Jude Law|Noomi Rapace|Rachel McAdams|Jared Harris"
The Adventurer: The Curse of the Midas Box, 2014/1/10,Adventure,25000000.0,0.0,Rotten,17%,Spilled,32%,5.4,Jonathan Newman,Karl Richards|Peter Bevan|Ibon Cormenzana|Ignasi Estape,Christian Taylor|Matthew Huffman,Michael Sheen|Lena Headey|Keeley Hawes|Ioan Gruffudd|Sam Neill
Weekend, 2011/9/23,Drama,190000.0,484592.0,Certified Fresh,95%,Upright,86%,7.7,Andrew Haigh,Tristan Goligher,Andrew Haigh,Tom Cullen|Chris New
Hancock, 2008/7/1,Action,150000000.0,227946274.0,Rotten,41%,Upright,60%,6.5,Peter Berg,Akiva Goldsman|James Lassiter|Michael Mann|Will Smith,Vincent Ngo|Vince Gilligan,Will Smith|Charlize Theron|Jason Bateman|Eddie Marsan|Johnny Galecki
Earth to Echo, 2014/7/2,Adventure,13000000.0,38497503.0,Rotten,48%,Spilled,51%,5.8,David Green,Andrew Panay|Ryan Kavanaugh,Henry Gayden,Teo Halm|Brian Bradley|Reese C. Hartwig|Ella Wahlestedt|Jason Gray-Stanford
"I, Frankenstein", 2014/1/24,Action,65000000.0,19075290.0,Rotten,4%,Spilled,40%,5.2,Stuart Beattie,Tom Rosenberg|Gary Lucchesi|Richard Wright|Andrew Mason|Sidney Kimmel,Stuart Beattie,Aaron Eckhart|Bill Nighy|Yvonne Strahovski|Miranda Otto|Socratis Otto
Getaway, 2013/8/30,Thriller/Suspense,18000000.0,10501938.0,Rotten,2%,Spilled,35%,4.3,Courtney Solomon,Courtney Solomon|Allan Zeman|Christopher Milburn|Moshe Diamant,Sean Finegan|Gregg Maxwell Parker,Ethan Hawke|Selena Gomez|Jon Voight|Rebecca Budig|Paul Freeman
Good Will Hunting, 1997/12/5,Drama,10000000.0,138433435.0,Certified Fresh,97%,Upright,94%,8.2,Gus Van Sant,Lawrence Bender,Ben Affleck|Matt Damon,Matt Damon|Robin Williams|Ben Affleck|Minnie Driver|Stellan Skarsgård
The Twilight Saga: Eclipse, 2010/6/30,Drama,68000000.0,300531751.0,Rotten,49%,Upright,60%,4.9,David Slade,Wyck Godfrey|Greg Mooradian|Karen Rosenfelt,Melissa Rosenberg,Xavier Samuel|Kristen Stewart|Robert Pattinson|Billy Burke|Justin Chon
Johnny Suede, 1991/1/1,Drama,500000.0,55000.0,Rotten,36%,Spilled,48%,5.8,Tom DiCillo,Yoram Mandel|Ruth Waldburger,Tom DiCillo,Brad Pitt|Catherine Keener|Calvin Levels|Alison Moir|Nick Cave
Beverly Hills Chihuahua, 2008/10/3,Comedy,20000000.0,94514402.0,Rotten,41%,Spilled,52%,3.7,Raja Gosnell,David Hoberman|Todd Lieberman|John Jacobs,Analisa Labianco|Jeff Bushell,Piper Perabo|Manolo Cardona|Jamie Lee Curtis|Jose Maria Yazpik|Maury Sterling
Ali, 2001/12/25,Drama,109000000.0,58183966.0,Fresh,67%,Upright,65%,6.7,Michael Mann,Jon Peters|James Lassiter|Paul Ardaji|Michael Mann|A. Kitman Ho,Stephen J. Rivele|Christopher Wilkinson|Eric Roth|Michael Mann,Will Smith|Jamie Foxx|Jon Voight|Mario Van Peebles|Ron Silver
Artificial Intelligence: AI, 2001/6/29,Drama,90000000.0,78616689.0,Certified Fresh,73%,Upright,64%,7.1,Steven Spielberg,Steven Spielberg|Bonnie Curtis|Kathleen Kennedy,Steven Spielberg,Haley Joel Osment|Jude Law|Frances O'Connor|Brendan Gleeson|William Hurt
Contagion, 2011/9/9,Thriller/Suspense,60000000.0,75658097.0,Certified Fresh,84%,Upright,62%,6.7,Steven Soderbergh,Michael Shamberg|Stacey Sher|Gregory Jacobs,Scott Z. Burns,Gwyneth Paltrow|Chui Tien You|Josie Ho|Daria Strokous|Matt Damon
Enough Said, 2013/9/18,Comedy,8000000.0,17550872.0,Certified Fresh,96%,Upright,76%,7.1,Nicole Holofcener,Anthony Bregman|Stefanie Azpiazu,Nicole Holofcener,Julia Louis-Dreyfus|James Gandolfini|Catherine Keener|Toni Collette|Ben Falcone
Sphere, 1998/2/13,Horror,73000000.0,37068294.0,Rotten,12%,Spilled,39%,6.0,Barry Levinson,Michael Crichton|Andrew Wald|Barry Levinson,Paul Attanasio|Stephen Hauser,Dustin Hoffman|Sharon Stone|Samuel L. Jackson|Peter Coyote|Liev Schreiber
Kill Bill: Volume 2, 2004/4/16,Action,55000000.0,66207920.0,Certified Fresh,84%,Upright,89%,8.0,Quentin Tarantino,Lawrence Bender,Quentin Tarantino,Uma Thurman|David Carradine|Lucy Alexis Liu|Vivica Fox|Michael Madsen
Trust, 2011/4/1,Drama,4000000.0,120016.0,Certified Fresh,78%,Upright,65%,7.0,David Schwimmer,David Schwimmer|Robert Greenhut|Heidi Jo Markel|Tom Hodges|Dana Golomb|Ed Cathell III,Andy Bellin,Clive Owen|Catherine Keener|Liana Liberato|Jason Clarke|Noah Emmerich
The Flintstones, 1994/5/27,Comedy,45000000.0,130531208.0,Rotten,22%,Spilled,24%,4.8,Brian Levant,Bruce Cohen,Tom S. Parker|Jim Jennewein|Steven E. de Souza,John Goodman|Rick Moranis|Elizabeth Perkins|Rosie O'Donnell|Kyle MacLachlan
Brüno, 2009/7/10,Comedy,42000000.0,60054530.0,Fresh,68%,Spilled,41%,5.9,Larry Charles,Sacha Baron Cohen|Jay Roach|Dan Mazer|Monica Levinson,Sacha Baron Cohen|Anthony Hines|Dan Mazer|Jeff Schaffer,Sacha Baron Cohen|Gustaf Hammarsten
Iron Man, 2008/5/2,Action,186000000.0,318604126.0,Certified Fresh,93%,Upright,91%,7.9,Jon Favreau,Avi Arad|Kevin Feige,Mark Fergus|Hawk Ostby|Art Marcum|Matt Holloway,"Robert Downey, Jr.|Terrence Howard|Jeff Bridges|Gwyneth Paltrow|Leslie Bibb"
Endless Love, 2014/2/14,Drama,20000000.0,23438250.0,Rotten,15%,Upright,60%,6.3,Shana Feste,Scott Stuber|Pamela Abdy|Josh Schwartz|Stephanie Savage,Josh Safran|Shana Feste,Alex Pettyfer|Gabriella Wilde|Bruce Greenwood|Joely Richardson|Robert Patrick
Michael Clayton, 2007/10/5,Drama,21500000.0,49033882.0,Certified Fresh,90%,Upright,69%,7.3,Tony Gilroy,Sydney Pollack|Jennifer Fox|Steven Samuels|Kerry Orent,Tony Gilroy,George Clooney|Tom Wilkinson|Tilda Swinton|Sydney Pollack|Michael O'Keefe
Elektra, 2005/1/14,Action,65000000.0,24409722.0,Rotten,10%,Spilled,30%,4.8,Rob Bowman,Arnon Milchan|Gary Foster|Avi Arad,Zak Penn|Stuart Zicherman|Raven Metzner,Jennifer Garner|Bob Sapp|Terence Stamp|Jason Isaacs|Natassia Malthe
Race to Witch Mountain, 2009/3/13,Adventure,50000000.0,67172594.0,Rotten,43%,Spilled,44%,5.7,Andy Fickman,Andrew Gunn,Matt Lopez|Mark Bomback,Dwayne Johnson|AnnaSophia Robb|Alexander Ludwig|Carla Gugino|Ciaran Hinds
My Best Friend's Wedding, 1997/6/20,Comedy,46000000.0,126813153.0,Certified Fresh,71%,Upright,74%,6.3,P.J. Hogan,Ronald Bass|Jerry Zucker,Ronald Bass,Julia Roberts|Dermot Mulroney|Cameron Diaz|Rupert Everett|Philip Bosco
Higher Ground, 2011/8/23,Drama,1800000.0,841056.0,Certified Fresh,80%,Upright,62%,6.3,Vera Farmiga,Carly Hugo|Claude Dal Farra|Matt Parker|Renn Hawkey|Jon Rubinstein,Carolyn S. Briggs|Tim Metcalfe,Vera Farmiga|Joshua Leonard|Norbet Leo Butz|Dagmara Dominczyk|John Hawkes
Blades of Glory, 2007/3/30,Comedy,61000000.0,118594548.0,Fresh,69%,Upright,69%,6.4,Will Speck|Josh Gordon,Ben Stiller|Stuart Cornfeld|John Jacobs,Jeff Cox|Craig Cox|John Altschuler|Dave Krinsky,Will Ferrell|Jon Heder|Will Arnett|Amy Poehler|Craig T. Nelson
Contact, 1997/7/11,Drama,90000000.0,100920329.0,Fresh,63%,Upright,78%,7.4,Robert Zemeckis,Robert Zemeckis|Steve Starkey,James V. Hart|Michael Goldenberg,Jodie Foster|Matthew McConaughey|James Woods|John Hurt|Tom Skerritt
The Forbidden Kingdom, 2008/4/18,Action,55000000.0,52075270.0,Fresh,64%,Upright,60%,6.6,Rob Minkoff,Casey Silver,John Fusco,Jackie Chan|Jet Li|Michael Angarano|Liu Yifei|Collin Chou
Mo' Better Blues, 1990/8/3,Drama,10000000.0,16153000.0,Fresh,73%,Upright,76%,6.5,Spike Lee,Spike Lee,Spike Lee,Denzel Washington|Spike Lee|Wesley Snipes|Giancarlo Esposito|Robin Harris
Safety Not Guaranteed, 2012/6/8,Comedy,750000.0,4010957.0,Certified Fresh,91%,Upright,80%,7.1,Colin Trevorow,Marc Turtletaub|Peter Saraf|Stephanie Langhoff|Derek Connolly|Colin Trevorow,Derek Connolly,Aubrey Plaza|Mark Duplass|Jake Johnson|Karan Soni|Jenica Bergere
The Perks of Being a Wallflower, 2012/9/21,Drama,13000000.0,17742948.0,Certified Fresh,85%,Upright,89%,8.1,Stephen Chbosky,Lianne Halfon|Russell Smith|John Malkovich,Stephen Chbosky,Logan Lerman|Emma Watson|Ezra Miller|Mae Whitman|Kate Walsh
The Words, 2012/9/7,Drama,6000000.0,11494838.0,Rotten,22%,Spilled,50%,7.1,Brian Klugman|Lee Sternthal,Jim Young|Tatiana Kelly|Michael Benaroya,Brian Klugman|Lee Sternthal,Bradley Cooper|Jeremy Irons|Dennis Quaid|Olivia Wilde|Zoe Saldana
